epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9383,0.90311,1.58316,0.53383,1.15187,0.78355,0.75983,0.78984,0.64283,0.79227,0.69634,0.73946,0.39744,1.13062,1.86642,0.91259,1.34046,0.0672972,6.55367e-05,6.55367e-05
2,91.2259,0.8742,1.46204,0.48489,1.11574,0.8004,0.78604,0.80712,0.66157,0.78223,0.75775,0.76585,0.4305,1.03695,1.6688,0.7809,1.29264,0.0340305,0.000132197,0.000132197
3,133.776,0.82976,1.38953,0.46172,1.11606,0.81878,0.78821,0.82011,0.67039,0.82575,0.76442,0.79886,0.44153,1.02825,1.57995,0.74509,1.27229,0.000763802,0.00019883,0.00019883
4,176.463,0.83763,1.36126,0.44841,1.10838,0.81279,0.79413,0.81835,0.67119,0.7925,0.77281,0.7843,0.44808,1.03827,1.61538,0.77261,1.27881,0.000199909,0.000199909,0.000199909
5,219.31,0.85307,1.41448,0.45484,1.11937,0.81038,0.79669,0.81467,0.67325,0.79658,0.773,0.78302,0.43889,1.0329,1.61493,0.78011,1.27585,0.000199839,0.000199839,0.000199839
6,261.36,0.83588,1.37675,0.44664,1.09313,0.81438,0.79353,0.82092,0.67331,0.80537,0.76379,0.78744,0.44116,1.03459,1.6118,0.76539,1.28343,0.000199748,0.000199748,0.000199748
7,302.691,0.79339,1.31168,0.42897,1.07909,0.83356,0.77741,0.81881,0.66969,0.8094,0.75639,0.78389,0.44177,1.04381,1.61355,0.78981,1.28727,0.000199637,0.000199637,0.000199637
8,344.364,0.7955,1.31599,0.43015,1.09319,0.8129,0.79198,0.81793,0.67127,0.8059,0.76903,0.78953,0.43845,1.0412,1.5936,0.77522,1.29326,0.000199506,0.000199506,0.000199506
9,386.112,0.81017,1.31902,0.41859,1.08049,0.82587,0.77974,0.81263,0.6698,0.81359,0.76742,0.78747,0.44265,1.05204,1.62422,0.76931,1.30644,0.000199355,0.000199355,0.000199355
10,428.287,0.83138,1.33706,0.4296,1.10291,0.82096,0.77522,0.81078,0.66754,0.80482,0.75888,0.7833,0.43143,1.04907,1.62802,0.80551,1.29914,0.000199184,0.000199184,0.000199184
