epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,461.178,1.28896,2.69174,1.70835,1.42233,0,0.60513,0.58592,0.5373,0.37649,0.32338,0.29803,0.13999,0.03846,1.32607,8.05497,2.92981,1.41182,0,0.000263799,0.000263799,0.0672889
2,516.596,1.29273,2.49894,1.41737,1.39912,0,0.4346,0.61575,0.47943,0.29806,0.33064,0.44724,0.28148,0.09654,1.37841,2.90114,1.73348,1.46778,0,0.000530408,0.000530408,0.0342222
3,574.201,1.28518,2.37147,1.34454,1.40377,0,0.62311,0.61009,0.642,0.42519,0.47611,0.4579,0.41992,0.16848,1.34814,2.63019,1.65503,1.46045,0,0.000796787,0.000796787,0.00115521
4,633.171,1.29727,2.32946,1.24245,1.39273,0,0.62334,0.62669,0.67317,0.43433,0.58602,0.52283,0.53211,0.21675,1.34256,2.32135,1.38864,1.4175,0,0.000799219,0.000799219,0.000799219
5,691.308,1.25095,2.23359,1.1587,1.36937,0,0.72754,0.70547,0.74698,0.49999,0.63718,0.58205,0.56939,0.23149,1.28642,2.24631,1.12553,1.40771,0,0.000798611,0.000798611,0.000798611
6,749.387,1.20926,2.23925,1.10357,1.34707,0,0.70737,0.73188,0.75557,0.50738,0.64569,0.58706,0.59558,0.25786,1.29022,2.22123,1.04288,1.36853,0,0.000797831,0.000797831,0.000797831
7,805.002,1.15652,2.15424,1.05311,1.30604,0,0.69437,0.7171,0.74805,0.53965,0.65102,0.63441,0.63694,0.28408,1.22045,2.13085,1.00316,1.34711,0,0.000796877,0.000796877,0.000796877
8,863.066,1.13515,2.12095,0.94828,1.28267,0,0.73588,0.76805,0.79522,0.5517,0.71846,0.61834,0.64444,0.29264,1.24083,2.04969,0.95683,1.33673,0,0.000795752,0.000795752,0.000795752
9,922.193,1.13091,2.07882,0.9498,1.26113,0,0.6577,0.76864,0.7437,0.53138,0.64829,0.59732,0.6007,0.26251,1.22937,2.10619,1.12459,1.34857,0,0.000794454,0.000794454,0.000794454
10,979.461,1.12941,2.06313,0.95219,1.28421,0,0.75848,0.80161,0.79752,0.56031,0.65813,0.69009,0.64292,0.30802,1.22312,1.95706,0.90226,1.32574,0,0.000792986,0.000792986,0.000792986
11,1034.13,1.05769,1.93253,0.88397,1.24651,0,0.73164,0.74106,0.78212,0.5571,0.64983,0.65862,0.65268,0.29603,1.24356,1.96802,0.90907,1.32814,0,0.000791346,0.000791346,0.000791346
